Temp;Turbidity (cm);DO(mg/L);BOD (mg/L);CO2;PH;Alkalinity (mg L-1 );Hardness (mg L-1 );Calcium (mg L-1 );Ammonia (mg L-1 );Nitrite (mg L-1 );Phosphorus (mg L-1 );H2S (mg L-1 );Water Quality
46.030362499999995;10.1271;0.2082;7.4736;10.1811;4.7517;218.3649;300.1251;253.37435;0.07844999999999999;2.900975;0.006;0.03385;2
46.030362499999995;94.0156;10.335437500000001;8.528387500000001;13.030550000000002;3.0852;271.45239999999995;8.4268;253.37435;0.07844999999999999;2.1828;0.0049;0.0234;2
46.030362499999995;90.6535;10.335437500000001;8.528387500000001;12.32;9.6485;220.8127;11.7263;253.37435;0.07844999999999999;2.900975;0.007;0.03385;2
4.023262500000003;0.0663;10.335437500000001;8.508;12.9552;4.82;266.5716;6.6277;8.1805;0.07844999999999999;2.900975;3.1745;0.026;2
46.030362499999995;2.1192;1.3617;8.528387500000001;13.030550000000002;10.244;252.108;302.4695875;253.37435;0.07844999999999999;2.900975;3.8547;0.03385;2
4.023262500000003;10.4725;10.335437500000001;8.528387500000001;10.0586;12.7131;271.45239999999995;302.4695875;253.37435;0.07844999999999999;2.900975;0.0062;0.03385;2
46.030362499999995;4.4115;10.335437500000001;8.528387500000001;13.030550000000002;10.4741;240.1967;17.7917;253.37435;0.07844999999999999;2.900975;4.7533;0.03385;2
46.030362499999995;96.6107;0.7159;8.528387500000001;13.030550000000002;2.5546249999999997;271.45239999999995;16.1019;253.37435;0.07844999999999999;2.900975;0.0017;0.0309;2
46.030362499999995;11.5195;2.2106;7.4646;13.030550000000002;2.5546249999999997;244.9198;7.3329;253.37435;0.0529;2.5094;3.2229;0.03385;2
4.023262500000003;10.5916;8.6368;8.528387500000001;10.2779;2.5546249999999997;269.6822;302.4695875;253.37435;0.07844999999999999;2.900975;0.0093;0.03385;2
13.8332;92.0412;1.9942;6.8327;11.6113;12.923625;205.4867;302.4695875;5.7936;0.07844999999999999;2.900975;4.0201;0.0244;2
12.2575;9.2931;1.8058;8.528387500000001;13.030550000000002;5.1134;250.8572;19.0697;253.37435;0.07844999999999999;2.900975;0.004;0.03385;2
4.023262500000003;81.1455;10.335437500000001;6.9901;13.030550000000002;4.2442;263.4489;302.4695875;253.37435;0.07844999999999999;2.4544;4.5506;0.03385;2
46.030362499999995;97.403;10.335437500000001;8.528387500000001;13.030550000000002;12.923625;229.7421;302.4695875;253.37435;0.07844999999999999;2.177;0.003;0.03385;2
46.030362499999995;87.8002;0.5509;8.528387500000001;13.030550000000002;4.8059;249.6807;18.9724;3.1151;0.07844999999999999;2.900975;3.1185;0.03385;2
10.8712;4.1261;1.6138;8.528387500000001;10.5368;2.5546249999999997;271.45239999999995;16.3374;253.37435;0.07844999999999999;2.900975;0.0045;0.03385;2
46.030362499999995;98.8264;0.5273;8.528387500000001;13.030550000000002;2.8556;240.9488;4.9778;4.7759;0.07844999999999999;2.1774;3.4174;0.03385;2
46.030362499999995;95.2331;9.9787;7.8604;13.030550000000002;12.923625;248.2184;1.7983;253.37435;0.07844999999999999;2.7318;0.0045;0.03385;2
46.030362499999995;9.7116;10.335437500000001;8.528387500000001;10.3067;2.5546249999999997;271.45239999999995;302.4695875;3.0713;0.07844999999999999;2.900975;3.8254;0.03385;2
4.023262500000003;86.0652;2.6678;8.528387500000001;13.030550000000002;5.5349;205.1027;302.4695875;253.37435;0.0741;2.2277;4.8598;0.03385;2
46.030362499999995;82.1628;1.2508;8.528387500000001;10.5044;12.4827;251.4948;8.2697;5.6294;0.07844999999999999;2.900975;3.0375;0.03385;2
4.023262500000003;1.3446;8.4266;8.4812;13.030550000000002;2.5546249999999997;261.8802;13.697;253.37435;0.07844999999999999;2.900975;0.005;0.03385;2
46.030362499999995;1.647;0.9448;6.3689;13.030550000000002;11.6746;262.6232;14.0785;0.1132;0.07844999999999999;2.1754;0.0063;0.03385;2
46.030362499999995;12.3178;10.335437500000001;8.528387500000001;10.1662;4.8757;253.3645;14.0813;8.3087;0.07844999999999999;2.3268;0.0034;0.03385;2
